"image","sale_price","price","name"
"https://www.thietbidiendgp.vn/media/products/350/gdr-180-li-e3b4ddc14b4044cfbed1ad5fe18f9b28-master.jpg","3,941,100 VND","4,379,000 VND","Máy bắt ốc dùng pin Bosch GDR 180-LI"
"https://www.thietbidiendgp.vn/media/products/350/gsh-500-a287d72509a84e3db8ec0270fb26d13d-master.jpg","4,967,100 VND","5,519,000 VND","Máy đục bê tông Bosch GSH 500 GEN II"
"https://www.thietbidiendgp.vn/media/products/350/gsb-12v-30-26f316ad75254a0f888c8e9648a2aad9-master.jpg","3,977,100 VND","4,419,000 VND","Máy khoan động lực dùng pin Bosch GSB 12V-30"
"https://www.thietbidiendgp.vn/media/products/350/gsb-16-re-eebfd186b9604daaaf105834750f99b8-master.jpg","1,601,100 VND","1,779,000 VND","Máy khoan động lực Bosch GSB 16 RE (Valy nhựa)"
"https://www.thietbidiendgp.vn/media/products/350/gbh2-26-dre-4b934452be6c48e1beb5cffc2d354d2a-master-27.jpg","935,100 VND","1,039,000 VND","Máy khoan động lực Bosch GSB 550"
"https://www.thietbidiendgp.vn/media/products/350/gbh-2-28-dfv-2c0fa4226b45405f8d6e4f26a16b3b8d-master.jpg","4,877,100 VND","5,419,000 VND","Máy khoan búa Bosch GBH 2-28 DFV"
"https://www.thietbidiendgp.vn/media/products/350/gbh-2-28-dfv-2c0fa4226b45405f8d6e4f26a16b3b8d-master.jpg","1,448,100 VND","1,609,000 VND","Máy khoan động lực Bosch GBH 2-28 DFV SB 13 RE"
"https://www.thietbidiendgp.vn/media/products/350/gbh-220-81be43d8edf94c0f979ac67fcc3b692c-master.jpg","3,032,100 VND","3,369,000 VND","Máy khoan búa Bosch GBH 220"
"https://www.thietbidiendgp.vn/images/load.jpg","701,100 VND","779,000 VND","Máy khoan Bosch GBM 320"
"https://www.thietbidiendgp.vn/images/load.jpg","4,022,100 VND","4,469,000 VND","Máy khoan búa Bosch GBH 2-26 DRE"
"https://www.thietbidiendgp.vn/images/load.jpg","950,400 VND","1,056,000 VND","Máy khoan búa MAKITA M0800B"
"https://www.thietbidiendgp.vn/images/load.jpg","1,346,400 VND","1,496,000 VND","Máy khoan búa MAKITA M8104B"
"https://www.thietbidiendgp.vn/images/load.jpg","1,009,800 VND","1,122,000 VND","Máy khoan búa MAKITA M0801B"
"https://www.thietbidiendgp.vn/images/load.jpg","2,039,400 VND","2,266,000 VND","Máy khoan búa MAKITA M8100KX2B"
"https://www.thietbidiendgp.vn/images/load.jpg","2,811,600 VND","3,124,000 VND","Máy trộn sơn MAKITA M6600XB"
"https://www.thietbidiendgp.vn/images/load.jpg","2,989,800 VND","3,322,000 VND","Máy khoan động lực MAKITA M8701B"
"https://www.thietbidiendgp.vn/images/load.jpg","772,200 VND","858,000 VND","Máy khoan MAKITA M0600B"
"https://www.thietbidiendgp.vn/images/load.jpg","1,940,400 VND","2,156,000 VND","Máy khoan MAKITA M0600B M6200B"
"https://www.thietbidiendgp.vn/images/load.jpg","950,400 VND","1,056,000 VND","Máy khoan MAKITA M6000B"
"https://www.thietbidiendgp.vn/images/load.jpg","3,484,800 VND","3,872,000 VND","Máy vặn vít MAKITA M6901D / M6901DWEB"
"https://www.thietbidiendgp.vn/images/load.jpg","831,600 VND","924,000 VND","Máy khoan tốc độ cao MAKITA M6500B"
