image,name,price,sale_price,category
https://cdn.tgdd.vn/Products/Images/3385/193282/kangaroo-kg10a3-190522-021701-600x600.jpg,M‡y l?c n??c RO n—ng ngu?i l?nh Kangaroo KG10A3 10 l›i,7.190.000?,9.900.000?,b“nh n—ng l?nh
https://cdn.tgdd.vn/Products/Images/3385/274235/ro-nong-lanh-karofi-kad-x39-10-loi-00-600x600.jpg,M‡y l?c n??c RO n—ng ngu?i l?nh Karofi KAD-X39 10 l›i,7.820.000?,9.320.000?,b“nh n—ng l?nh
https://cdn.tgdd.vn/Products/Images/3385/197637/kangaroo-kg99a-vtu-kg-8-300x300.jpg,M‡y l?c n??c RO Kangaroo KG99A VTU 9 l›i,4.490.000?,6.690.000?,b“nh n—ng l?nh
https://cdn.tgdd.vn/Products/Images/3385/244432/ro-nong-lanh-karofi-kad-d66-11-loi-300x300.jpg,M‡y l?c n??c RO n—ng ngu?i l?nh Karofi KAD-D66 11 l›i,11.750.000?,12.750.000?,b“nh n—ng l?nh
https://cdn.tgdd.vn/Products/Images/3385/220266/may-loc-nuoc-ro-kangaroo-kg10a4-vtu-10-loi-0-600x600.jpg,M‡y l?c n??c RO n—ng ngu?i l?nh Hydrogen Kangaroo KG10A4VTU 10 l›i,9.390.000?,12.990.000?,b“nh n—ng l?nh
https://cdn.tgdd.vn/Products/Images/3385/101977/kangaroo-vtu-kg109a-daidien-600x600.jpg,M‡y l?c n??c RO Kangaroo VTU KG109A 9 l›i,6.790.000?,6.990.000?,b“nh n—ng l?nh
https://cdn.tgdd.vn/Products/Images/3385/225018/ro-karofi-b930-9-loi-300x300.jpg,M‡y l?c n??c RO Karofi B930 9 l›i,5.620.000?,6.370.000?,b“nh n—ng l?nh
https://cdn.tgdd.vn/Products/Images/3385/226419/ro-nong-lanh-sunhouse-shr76213ck-10-l-300x300.jpg,M‡y l?c n??c RO n—ng ngu?i l?nh Sunhouse SHA76213CK 10 l›i,11.120.000?,11.590.000?,b“nh n—ng l?nh
https://cdn.tgdd.vn/Products/Images/3385/202989/may-loc-nuoc-ro-sunhouse-sha8858k-8-loi-2-300x300.jpg,M‡y l?c n??c RO Sunhouse SHA8858K 8 l›i,5.390.000?,6.290.000?,b“nh n—ng l?nh
https://cdn.tgdd.vn/Products/Images/3385/110633/sunhouse-shr76210ck-10-loi-1-4-org1-300x300.jpg,M‡y l?c n??c RO n—ng ngu?i l?nh Sunhouse SHR76210CK 10 l›i,8.430.000?,9.790.000?,b“nh n—ng l?nh
https://cdn.tgdd.vn/Products/Images/3385/214497/may-loc-nuoc-ro-khong-vo-kangaroo-kg110-9-loi-kg-190522-043019-600x600.jpeg,M‡y l?c n??c RO Kangaroo KG110 9 l›i,6.660.000?,6.990.000?,b“nh n—ng l?nh
https://cdn.tgdd.vn/Products/Images/3385/255987/ro-sunhouse-sha8866k-7-loi-600x600.jpg,M‡y l?c n??c RO Sunhouse SHA8866K 7 l›i,3.590.000?,4.590.000?,b“nh n—ng l?nh
https://cdn.tgdd.vn/Products/Images/3385/109835/may-loc-nuoc-hydrogen-kangaroo-vtu-kg100ha-13-300x300.jpg,M‡y l?c n??c RO Hydrogen Kangaroo VTU KG100HA 9 l›i,9.590.000?,,b“nh n—ng l?nh
https://cdn.tgdd.vn/Products/Images/3385/233037/ro-mutosi-mp-290sk-9-loi-300x300.jpg,M‡y l?c n??c RO Mutosi MP-290SK 9 l›i,3.990.000?,6.670.000?,b“nh n—ng l?nh
https://cdn.tgdd.vn/Products/Images/3385/236786/ro-karofi-kaq-u95-300x300.jpg,M‡y l?c n??c RO Karofi KAQ-U95 10 l›i,5.940.000?,7.440.000?,b“nh n—ng l?nh
